Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 4 Quartos à Venda, 113m²  ","Rua Conde de Monte Cristo, 32 - Ipiranga, Belo Horizonte - MG",113,   R$ 990.000   ,4,3,3
  Live Up Residence  ,"Avenida Amazonas, 0 - Centro, Belo Horizonte - MG", 57-142 ,    Sob Consulta   ,  2-3     ,  1-2     ,  1-2     
"  Apartamento com 4 Quartos à Venda, 272m²  ","Rua Anita Garibaldi, 124 - Coração de Jesus, Belo Horizonte - MG",272,   R$ 769.000   ,4,3,3
"  Apartamento com 3 Quartos à Venda, 90m²  ","Rua Henrique Sales, 140 - Luxemburgo, Belo Horizonte - MG",90,   R$ 450.000   ,3,3,1
"  Apartamento com 4 Quartos à Venda, 233m²  ","Rua Júlio Vidal, 11 - Anchieta, Belo Horizonte - MG",233,   R$ 2.650.000   ,4,3,4
"  Apartamento com 4 Quartos à Venda, 136m²  ","Rua Cachoeira de Minas, 114 - Gutierrez, Belo Horizonte - MG",136,   R$ 640.000   ,4,3,3
"  Apartamento com 3 Quartos à Venda, 144m²  ","Rua Panamá, 115 - Sion, Belo Horizonte - MG",144,   R$ 670.000   ,3,3,1
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Pintor Vicente Abreu - Estoril, Belo Horizonte - MG",100,   R$ 650.000   ,3,3,2
  Lodz Residence  ,"Avenida Bernardo Monteiro, 475 - Santa Efigênia, Belo Horizonte - MG", 39-148 ,    Sob Consulta   ,  1-2     ,  1-2     ,  1-2     
"  Apartamento com 3 Quartos à Venda, 59m²  ","Rua Guilherme Pinto da Fonseca, 337 - Madre Gertrudes, Belo Horizonte - MG",59,   R$ 190.000   ,3,1,1
"  Apartamento com 4 Quartos à Venda, 300m²  ","Rua Santa Catarina, 760 - Lourdes, Belo Horizonte - MG",300,   R$ 2.200.000   ,4,6,2
"  Apartamento com 3 Quartos à Venda, 107m²  ","Rua Paraíba, 607 - Savassi, Belo Horizonte - MG",107,   R$ 1.250.000   ,3,3,2
"  Apartamento com  Quarto à Venda, 50m²  ","Rua dos Carijós, 558 - Centro, Belo Horizonte - MG",50,   R$ 170.000   ,1,1,  --     
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Coletor Celso Werneck - Santo Antônio, Belo Horizonte - MG",95,   R$ 580.000   ,3,2,2
"  Apartamento com 3 Quartos à Venda, 102m²  ","Rua Alvarenga Peixoto, 711 - Lourdes, Belo Horizonte - MG",102,   R$ 1.027.000   ,3,3,3
  Vida Campestre  ,"Rua Campestre, 40 - Sagrada Família, Belo Horizonte - MG", 80-240 ,    Sob Consulta   ,3,2,  2-4     
"  Apartamento com 4 Quartos à Venda, 139m²  ","Rua Bacupã, 181 - Jaraguá, Belo Horizonte - MG",139,   R$ 777.000   ,4,5,2
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Deputado Álvaro Sales, 65 - Santo Antônio, Belo Horizonte - MG",100,   R$ 430.000   ,3,3,1
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Visconde de Mauá, 95 - Califórnia, Belo Horizonte - MG",55,   R$ 200.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 70m²  ","Rua Deputado Feliciano Pena - Santa Amélia, Belo Horizonte - MG",70,   R$ 320.000   ,3,1,1
"  Apartamento com 2 Quartos à Venda, 62m²  ","Rua Doutor José Welinton - Planalto, Belo Horizonte - MG",62,   R$ 225.000   ,2,1,1
