Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 3 Quartos à Venda, 108m²  ","Rua Carlos Von Koseritz, 865 - São João, Porto Alegre - RS",108,   R$ 749.000   ,3,3,2
  Blend Cidade Baixa  ,"Avenida João Pessoa, 407 - Centro Histórico, Porto Alegre - RS", 30-57 ,    Sob Consulta   ,  1-2     ,1,1
"  Apartamento com 3 Quartos à Venda, 133m²  ","Rua Castro Alves, 1035 - Independência, Porto Alegre - RS",133,   R$ 365.000   ,3,3,  --     
"  Apartamento com 2 Quartos à Venda, 159m²  ","Rua João Abbott, 230 - Petrópolis, Porto Alegre - RS",159,   R$ 850.000   ,2,3,2
"  Apartamento com 2 Quartos à Venda, 53m²  ","Rua Professor Joaber Pereira, 80 - Sarandi, Porto Alegre - RS",53,   R$ 279.000   ,2,1,1
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Bispo William Thomas, 200 - Teresópolis, Porto Alegre - RS",93,   R$ 500.000   ,3,2,1
"  Apartamento com 3 Quartos à Venda, 92m²  ","Rua Amélia Teles, 367 - Petrópolis, Porto Alegre - RS",92,   R$ 610.000   ,3,2,2
"  Apartamento com  Quarto à Venda, 45m²  ","Rua Felizardo, 913 - Jardim Botânico, Porto Alegre - RS",45,   R$ 265.000   ,1,1,1
  Like Bom Fim  ,"Rua Fernandes Vieira, 217 - Bom Fim, Porto Alegre - RS", 39-47 ,    Sob Consulta   ,1,1,1
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Barão de Bagé, 411 - Vila Jardim, Porto Alegre - RS",60,   R$ 195.000   ,2,1,1
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua Dezessete de Junho - Menino Deus, Porto Alegre - RS",80,   R$ 690.000   ,2,2,2
"  Apartamento com 3 Quartos à Venda, 86m²  ","Passo da Areia, Porto Alegre - RS",86,   R$ 795.000   ,3,3,2
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida Bento Gonçalves, 205 - Partenon, Porto Alegre - RS",56,   R$ 346.800   ,2,2,1
"  Apartamento com 4 Quartos à Venda, 158m²  ","Avenida Carlos Gomes, 1050 - Auxiliadora, Porto Alegre - RS",158,   R$ 599.000   ,4,4,2
"  Apartamento com 2 Quartos à Venda, 88m²  ","Avenida Professor Oscar Pereira, 1207 - Azenha, Porto Alegre - RS",88,   R$ 290.000   ,2,1,1
  On The Park  ,"Rua Olavo Bilac, 770 - Azenha, Porto Alegre - RS", 80-170 ,    Sob Consulta   ,  2-3     ,  2-3     ,2
