Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua Carvalho Alvim, 654 - Tijuca, Rio de Janeiro - RJ", 80 ,   R$ 680.000   ,  2     ,2,  1     
  Hub Coliving  ,"Rua das Marrecas, 11 - Centro, Rio de Janeiro - RJ", 32-66 ,    Sob Consulta   ,  1     ,1,  --     
"  Apartamento com 2 Quartos à Venda, 92m²  ","Rua Comandante Rúbens Silva, 57 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 92 ,   R$ 520.000   ,  2     ,3,  1     
"  Apartamento com  Quarto à Venda, 100m²  ","Estrada Bougainville, 442 - Jacarepaguá, Rio de Janeiro - RJ", 100 ,   R$ 200.000   ,  1     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 75m²  ","Rua Carlos de Vasconcelos, 44 - Tijuca, Rio de Janeiro - RJ", 75 ,   R$ 530.000   ,  2     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 75m²  ","Rua Gustavo Sampaio, 610 - Leme, Rio de Janeiro - RJ", 75 ,   R$ 890.000   ,  2     ,2,  --     
"  Apartamento com 4 Quartos à Venda, 220m²  ","Rua Domingos Ferreira, 66 - Copacabana, Rio de Janeiro - RJ", 220 ,   R$ 2.300.000   ,  4     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua Guilherme Marconi, 67 - Centro, Rio de Janeiro - RJ", 86 ,   R$ 750.000   ,  3     ,2,  --     
  MOOD LAPA  ,"Rua Tadeu Kosciusko, 190 - Centro, Rio de Janeiro - RJ", 40-71 ,    Sob Consulta   ,  1-2     ,1,  --     
"  Apartamento com  Quarto à Venda, 75m²  ","Avenida Prefeito Dulcídio Cardoso, 1700 - Barra da Tijuca, Rio de Janeiro - RJ", 75 ,   R$ 750.000   ,  1     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 90m²  ","Rua Comandante Rúbens Silva, 700 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 90 ,   R$ 600.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Viúva Lacerda, 249 - Humaitá, Rio de Janeiro - RJ", 95 ,   R$ 1.150.000   ,  3     ,2,  --     
"  Apartamento com 3 Quartos à Venda, 138m²  ","Rua Gorceix, 225 - Ipanema, Rio de Janeiro - RJ", 138 ,   R$ 2.489.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 78m²  ","Avenida Vice-Presidente José Alencar, 1500 - Jacarepaguá, Rio de Janeiro - RJ", 78 ,   R$ 542.925   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 108m²  ","Rua Almirante Guilhem, 262 - Leblon, Rio de Janeiro - RJ", 108 ,   R$ 1.950.000   ,  3     ,2,  1     
  RESIDENCIAL SKYLUX BY TEGRA  ,"Rua Visconde de Inhaúma, 80 - Centro, Rio de Janeiro - RJ", 32-42 ,    Sob Consulta   ,  1     ,1,  --     
"  Apartamento com 3 Quartos à Venda, 112m²  ","Avenida Borges de Medeiros, 239 - Leblon, Rio de Janeiro - RJ", 112 ,   R$ 2.100.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 69m²  ","Rua Barão de Mesquita, 850 - Grajaú, Rio de Janeiro - RJ", 69 ,   R$ 390.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 132m²  ","Avenida General Olyntho Pillar - Barra da Tijuca, Rio de Janeiro - RJ", 132 ,   R$ 1.190.000   ,  3     ,4,  2     
"  Apartamento com 3 Quartos à Venda, 90m²  ","Rua Uruguai, 534 - Tijuca, Rio de Janeiro - RJ", 90 ,   R$ 550.000   ,  3     ,1,  1     
"  Apartamento com  Quarto à Venda, 50m²  ","Rua Bolivar, 45 - Copacabana, Rio de Janeiro - RJ", 50 ,   R$ 620.000   ,  1     ,1,  --     
"  Apartamento com  Quarto à Venda, 44m²  ","Avenida Cláudio Besserman Vianna, 03 - Jacarepaguá, Rio de Janeiro - RJ", 44 ,   R$ 270.000   ,  1     ,1,  2     
"  Apartamento com 3 Quartos à Venda, 85m²  ","Rua Dona Mariana, 182 - Botafogo, Rio de Janeiro - RJ", 85 ,   R$ 1.050.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Viúva Lacerda, 249 - Humaitá, Rio de Janeiro - RJ", 93 ,   R$ 1.200.000   ,  3     ,1,  1     
"  Apartamento com 4 Quartos à Venda, 180m²  ","Rua Marquês de São Vicente, 512 - Gávea, Rio de Janeiro - RJ", 180 ,   R$ 1.600.000   ,  4     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Manuel Brasiliense, 31 - Barra da Tijuca, Rio de Janeiro - RJ", 100 ,   R$ 1.350.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 180m²  ","Rua Almirante Pereira Guimarães, 2 - Leblon, Rio de Janeiro - RJ", 180 ,   R$ 5.050.000   ,  3     ,4,  2     
"  Apartamento com 5 Quartos à Venda, 207m²  ","Estrada da Gávea, 681 - São Conrado, Rio de Janeiro - RJ", 207 ,   R$ 2.650.000   ,  5     ,4,  2     
"  Apartamento com 2 Quartos à Venda, 92m²  ","Rua Professor Manuel Ferreira, 144 - Gávea, Rio de Janeiro - RJ", 92 ,   R$ 1.480.000   ,  2     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 98m²  ","Rua Barão do Bom Retiro, 307 - Engenho Novo, Rio de Janeiro - RJ", 98 ,   R$ 345.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 63m²  ","Rua Licínio Cardoso, 532 - São Francisco Xavier, Rio de Janeiro - RJ", 63 ,   R$ 240.000   ,  3     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 115m²  ","Rua Carlos Oswald - Barra da Tijuca, Rio de Janeiro - RJ", 115 ,   R$ 870.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 66m²  ","Rua Coronel Paulo Malta Rezende, 180 - Barra da Tijuca, Rio de Janeiro - RJ", 66 ,   R$ 680.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua Tirol, 386 - Freguesia (Jacarepaguá), Rio de Janeiro - RJ", 80 ,   R$ 295.000   ,  2     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 78m²  ","Rua Santa Clara, 365 - Copacabana, Rio de Janeiro - RJ", 78 ,   R$ 580.000   ,  2     ,1,  --     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua das Laranjeiras, 462 - Laranjeiras, Rio de Janeiro - RJ", 60 ,   R$ 610.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Pereira Nunes, 132 - Vila Isabel, Rio de Janeiro - RJ", 64 ,   R$ 550.000   ,  2     ,3,  1     
