Titulo,Endereço,Area,Preço,Quartos,Banheiros,Vagas
"  Apartamento com 2 Quartos à Venda, 70m²  ","Rua Cipriano Barata, 790 - Ipiranga, São Paulo - SP", 70 ,   R$ 565.000   ,  2     ,2,  1     
  Is Liberdade  ,"Rua Conselheiro Furtado, 130 - Liberdade, São Paulo - SP", 21-36 ,    Sob Consulta   ,  1     ,1,  --     
"  Apartamento com 3 Quartos à Venda, 160m²  ","Rua André Dreyfus, 109 - Sumaré, São Paulo - SP", 160 ,   R$ 1.300.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 57m²  ","Rua Cônego Vicente Miguel Marino, 183 - Barra Funda, São Paulo - SP", 57 ,   R$ 490.000   ,  2     ,2,  1     
"  Apartamento com  Quarto à Venda, 48m²  ","Rua Major Quedinho, 224 - Centro, São Paulo - SP", 48 ,   R$ 600.000   ,  1     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 107m²  ","Rua Paris, 241 - Sumaré, São Paulo - SP", 107 ,   R$ 850.000   ,  3     ,2,  2     
"  Apartamento com  Quarto à Venda, 84m²  ","Rua Turiassu, 507 - Perdizes, São Paulo - SP", 84 ,   R$ 1.060.000   ,  1     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Cônego Vicente Miguel Marino, 175 - Barra Funda, São Paulo - SP", 93 ,   R$ 600.000   ,  3     ,2,  2     
  Arquiplan - Go Liberdade  ,"Rua Conde de Sarzedas - Liberdade, São Paulo - SP", 37 ,    Sob Consulta   ,  2     ,1,  1     
"  Apartamento com  Quarto à Venda, 93m²  ","Rua Marechal Hermes da Fonseca, 600 - Santana, São Paulo - SP", 93 ,   R$ 900.000   ,  1     ,2,  2     
"  Apartamento com 6 Quartos à Venda, 290m²  ","Alameda Tietê, 325 - Jardim Paulista, São Paulo - SP", 290 ,   R$ 3.000.000   ,  6     ,5,  2     
"  Apartamento com 3 Quartos à Venda, 101m²  ","Rua Francisco Pessoa, 695 - Vila Andrade, São Paulo - SP", 101 ,   R$ 750.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 97m²  ","Rua Itambé, 440 - Higienópolis, São Paulo - SP", 97 ,   R$ 980.000   ,  2     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 80m²  ","Avenida Nove de Julho, 1050 - Bela Vista, São Paulo - SP", 80 ,   R$ 539.000   ,  2     ,2,  --     
"  Apartamento com 2 Quartos à Venda, 51m²  ","Avenida Carioca, 745 - Vila Carioca, São Paulo - SP", 51 ,   R$ 340.000   ,  2     ,1,  1     
  Today Brigadeiro  ,"Rua Asdrúbal do Nascimento, 174 - Bela Vista, São Paulo - SP", 28-36 ,   R$ 211.094   ,  1-2     ,1,  --     
"  Apartamento com 2 Quartos à Venda, 69m²  ","Avenida Raimundo Pereira de Magalhães, 909 - Vila Anastácio, São Paulo - SP", 69 ,   R$ 600.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 73m²  ","Rua Deputado Laércio Corte, Número 390 - Paraíso do Morumbi, São Paulo - SP", 73 ,   R$ 395.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 64m²  ","Rua Hipódromo, 1495 - Mooca, São Paulo - SP", 64 ,   R$ 500.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 65m²  ","Avenida do Cursino, 6601 - Vila Moraes, São Paulo - SP", 65 ,   R$ 403.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 87m²  ","Rua dos Capitães Mores, 346 - Mooca, São Paulo - SP", 87 ,   R$ 549.900   ,  3     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida São Miguel, 1453 - Vila Marieta, São Paulo - SP", 56 ,   R$ 235.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 59m²  ","Rua Pereira Caldas, 90 - Jardim da Glória, São Paulo - SP", 59 ,   R$ 625.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 64m²  ","Rua Eugene Carriere, 30 - Jardim das Vertentes, São Paulo - SP", 64 ,   R$ 299.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 110m²  ","Alameda Franca, 1282 - Jardim Paulista, São Paulo - SP", 110 ,   R$ 1.300.000   ,  3     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 49m²  ","Rua Engenheiro Guilherme Cristiano Frender, 1275 - Vila Antonieta, São Paulo - SP", 49 ,   R$ 379.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Avenida Ramalho Ortigão, 130 - Vila Gumercindo, São Paulo - SP", 80 ,   R$ 715.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 49m²  ","Rua Ibitirama, 2051 - Vila Prudente, São Paulo - SP", 49 ,   R$ 240.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Voluntários da Pátria, 4110 - Santana, São Paulo - SP", 80 ,   R$ 649.999   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 49m²  ","Rua Bruno Cavalcanti Feder - Quinta da Paineira, São Paulo - SP", 49 ,   R$ 320.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 115m²  ","Avenida Lavandisca, 627 - Indianópolis, São Paulo - SP", 115 ,   R$ 1.890.000   ,  3     ,4,  2     
"  Apartamento com 3 Quartos à Venda, 90m²  ","Rua Saguairu, 511 - Casa Verde, São Paulo - SP", 90 ,   R$ 770.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua Alfredo Pujol, 1350 - Santana, São Paulo - SP", 65 ,   R$ 720.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua José dos Reis, 600 - Parque da Vila Prudente, São Paulo - SP", 60 ,   R$ 535.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 89m²  ","Rua Catão - Vila Romana, São Paulo - SP", 89 ,   R$ 950.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 45m²  ","Rua Garopá, 199 - Vila Curuçá, São Paulo - SP", 45 ,   R$ 210.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 86m²  ","Rua Engenheiro Bianor - Butantã, São Paulo - SP", 86 ,   R$ 878.000   ,  3     ,3,  2     
"  Apartamento com 4 Quartos à Venda, 127m²  ","Rua Doutor Luiz Migliano - Jardim Caboré, São Paulo - SP", 127 ,   R$ 800.000   ,  4     ,5,  2     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Pedro de Castillo, 1012 - Protendit, São Paulo - SP", 50 ,   R$ 240.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 70m²  ","Avenida Ernesto Igel, 307 - Lapa, São Paulo - SP", 70 ,   R$ 600.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 72m²  ","Rua das Flechas, 562 - Vila Santa Catarina, São Paulo - SP", 72 ,   R$ 660.000   ,  2     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 66m²  ","Rua São Felipe, 39 - Parque São Jorge, São Paulo - SP", 66 ,   R$ 549.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 63m²  ","Rua Vergueiro, 7170 - Vila Firmiano Pinto, São Paulo - SP", 63 ,   R$ 540.000   ,  2     ,2,  1     
"  Apartamento com  Quarto à Venda, 38m²  ","Avenida Doutor Altino Arantes, 851 - Vila Clementino, São Paulo - SP", 38 ,   R$ 395.000   ,  1     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Dom Armando Lombardi, 575 - Vila Progredior, São Paulo - SP", 105 ,   R$ 625.000   ,  3     ,3,  1     
"  Apartamento com 3 Quartos à Venda, 97m²  ","Rua Deputado João Sussumu Hirata, 530 - Vila Andrade, São Paulo - SP", 97 ,   R$ 575.000   ,  3     ,4,  3     
"  Apartamento com 3 Quartos à Venda, 93m²  ","Rua Marquês de Valença, 369 - Alto da Mooca, São Paulo - SP", 93 ,   R$ 950.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 80m²  ","Rua França Pinto, 1255 - Vila Mariana, São Paulo - SP", 80 ,   R$ 720.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 84m²  ","Rua Assungui, 721 - Vila Gumercindo, São Paulo - SP", 84 ,   R$ 840.000   ,  2     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 94m²  ","Rua Domiciano Leite Ribeiro, 51 - Vila Guarani (Z Sul), São Paulo - SP", 94 ,   R$ 879.000   ,  2     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 54m²  ","Avenida Guarapiranga - Parque Alves de Lima, São Paulo - SP", 54 ,   R$ 355.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Rua Lucrécia Maciel, 135 - Vila Guarani (Z Sul), São Paulo - SP", 60 ,   R$ 545.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 128m²  ","Rua Maria Figueiredo, 343 - Paraíso, São Paulo - SP", 128 ,   R$ 1.300.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 67m²  ","Avenida Itaboraí, 1187 - Bosque da Saúde, São Paulo - SP", 67 ,   R$ 545.000   ,  2     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 90m²  ","Rua França Pinto, 275 - Vila Mariana, São Paulo - SP", 90 ,   R$ 875.000   ,  2     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 58m²  ","Avenida Senador Casimiro da Rocha, 1229 - Mirandópolis, São Paulo - SP", 58 ,   R$ 632.500   ,  2     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 56m²  ","Avenida Kenkiti Simomoto, 728 - Jaguaré, São Paulo - SP", 56 ,   R$ 370.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 56m²  ","Rua do Oratório, 464 - Mooca, São Paulo - SP", 56 ,   R$ 380.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 75m²  ","Rua Dom Bernardo Nogueira, 710 - Vila Gumercindo, São Paulo - SP", 75 ,   R$ 690.000   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 74m²  ","Rua Tabajaras - Mooca, São Paulo - SP", 74 ,   R$ 570.000   ,  3     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Professor Vahia de Abreu, 41 - Vila Olímpia, São Paulo - SP", 95 ,   R$ 1.440.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 69m²  ","Rua José da Silva Ribeiro, 576 - Vila Andrade, São Paulo - SP", 69 ,   R$ 550.000   ,  2     ,2,  2     
"  Apartamento com  Quarto à Venda, 58m²  ","Rua Jaraguá, 734 - Bom Retiro, São Paulo - SP", 58 ,   R$ 365.000   ,  1     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 80m²  ","Rua Professor Guilherme Belfort Sabino - Campininha, São Paulo - SP", 80 ,   R$ 530.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 57m²  ","Rua Dom Vilares, 1801 - Vila das Mercês, São Paulo - SP", 57 ,   R$ 430.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 92m²  ","Rua Apiacás, 630 - Perdizes, São Paulo - SP", 92 ,   R$ 1.000.000   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 130m²  ","Avenida José Galante, 811 - Vila Suzana, São Paulo - SP", 130 ,   R$ 520.000   ,  3     ,3,  3     
"  Apartamento com 2 Quartos à Venda, 75m²  ","Rua Apinajés, 1248 - Perdizes, São Paulo - SP", 75 ,   R$ 580.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Francisco Corazza, 100 - Parque Residencial da Lapa, São Paulo - SP", 50 ,   R$ 390.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 110m²  ","Rua Stela Marina, 156 - Brooklin Paulista, São Paulo - SP", 110 ,   R$ 1.299.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 96m²  ","Rua Doutor Luiz Migliano, 923 - Jardim Vazani, São Paulo - SP", 96 ,   R$ 710.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 60m²  ","Avenida Santos Dumont, 293 - Luz, São Paulo - SP", 60 ,   R$ 315.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 62m²  ","Estrada Velha da Penha, 265 - Tatuapé, São Paulo - SP", 62 ,   R$ 319.000   ,  3     ,1,  1     
"  Apartamento com 4 Quartos à Venda, 105m²  ","Avenida Professor Luiz Ignácio Anhaia Mello, 2580 - Jardim Avelino, São Paulo - SP", 105 ,   R$ 775.000   ,  4     ,4,  2     
"  Apartamento com  Quarto à Venda, 42m²  ","Rua São Vicente de Paulo, 34 - Santa Cecília, São Paulo - SP", 42 ,   R$ 400.000   ,  1     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 77m²  ","Avenida São Paulo Paraná, 10100 - Vila Pirajussara, São Paulo - SP", 77 ,   R$ 418.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 105m²  ","Rua Carvalho de Freitas - Vila Andrade, São Paulo - SP", 105 ,   R$ 480.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 127m²  ","Rua Pedro Pomponazzi, 29 - Jardim Vila Mariana, São Paulo - SP", 127 ,   R$ 1.280.000   ,  3     ,4,  2     
"  Apartamento com 2 Quartos à Venda, 44m²  ","Rua Aveleda - Jardim Santa Terezinha (Zona Leste), São Paulo - SP", 44 ,   R$ 200.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 133m²  ","Rua do Oratório, 202 - Mooca, São Paulo - SP", 133 ,   R$ 1.480.000   ,  3     ,4,  3     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Pedro de Castillo, 1012 - Protendit, São Paulo - SP", 50 ,   R$ 235.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua General Chagas Santos, 500 - Vila da Saúde, São Paulo - SP", 65 ,   R$ 685.000   ,  2     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 154m²  ","Avenida Portugal, 228 - Brooklin Paulista, São Paulo - SP", 154 ,   R$ 1.700.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 95m²  ","Rua Paula Ney, 428 - Vila Mariana, São Paulo - SP", 95 ,   R$ 1.150.000   ,  3     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 100m²  ","Rua Loefgren, 882 - Vila Clementino, São Paulo - SP", 100 ,   R$ 917.000   ,  3     ,3,  2     
"  Apartamento com 3 Quartos à Venda, 110m²  ","Rua Ipiranga, 600 - Jardim Aeroporto, São Paulo - SP", 110 ,   R$ 1.179.999   ,  3     ,5,  2     
"  Apartamento com 2 Quartos à Venda, 90m²  ","Rua Capote Valente, 189 - Pinheiros, São Paulo - SP", 90 ,   R$ 900.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 66m²  ","Rua Carlos Gomes, 924 - Santo Amaro, São Paulo - SP", 66 ,   R$ 640.000   ,  2     ,2,  2     
"  Apartamento com 4 Quartos à Venda, 124m²  ","Avenida Doutor Altino Arantes, 164 - Vila Clementino, São Paulo - SP", 124 ,   R$ 1.695.000   ,  4     ,5,  4     
"  Apartamento com 3 Quartos à Venda, 124m²  ","Rua Tuiuti, 658 - Tatuapé, São Paulo - SP", 124 ,   R$ 1.160.000   ,  3     ,3,  2     
"  Apartamento com 2 Quartos à Venda, 69m²  ","Rua Vilela, 267 - Tatuapé, São Paulo - SP", 69 ,   R$ 575.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 55m²  ","Rua Carolina Fonseca, 315 - Vila Santana, São Paulo - SP", 55 ,   R$ 220.000   ,  2     ,1,  1     
"  Apartamento com 3 Quartos à Venda, 94m²  ","Rua Doutor Augusto de Miranda, 1107 - Vila Pompéia, São Paulo - SP", 94 ,   R$ 960.000   ,  3     ,3,  2     
"  Apartamento com 4 Quartos à Venda, 129m²  ","Rua Correggio, 77 - Vila Suzana, São Paulo - SP", 129 ,   R$ 540.000   ,  4     ,5,  3     
"  Apartamento com 3 Quartos à Venda, 71m²  ","Rua Pereira Caldas, 90 - Jardim da Glória, São Paulo - SP", 71 ,   R$ 799.000   ,  3     ,2,  2     
"  Apartamento com 2 Quartos à Venda, 64m²  ","Rua Atílio Piffer, 120 - Casa Verde, São Paulo - SP", 64 ,   R$ 520.000   ,  2     ,2,  1     
"  Apartamento com 2 Quartos à Venda, 50m²  ","Rua Carolina Fonseca, 315 - Vila Santana, São Paulo - SP", 50 ,   R$ 225.000   ,  2     ,1,  1     
"  Apartamento com 2 Quartos à Venda, 65m²  ","Rua José Coimbra - Vila Andrade, São Paulo - SP", 65 ,   R$ 390.000   ,  2     ,2,  2     
"  Apartamento com 3 Quartos à Venda, 120m²  ","Rua Texas, 963 - Brooklin Paulista, São Paulo - SP", 120 ,   R$ 940.000   ,  3     ,3,  1     
"  Apartamento com 2 Quartos à Venda, 52m²  ","Rua Alves Guimarães, 1354 - Pinheiros, São Paulo - SP", 52 ,   R$ 750.000   ,  2     ,2,  1     
"  Apartamento com 3 Quartos à Venda, 190m²  ","Rua Aimberê, 258 - Perdizes, São Paulo - SP", 190 ,   R$ 3.000.000   ,  3     ,5,  4     
"  Apartamento com 3 Quartos à Venda, 156m²  ","Rua Conselheiro Moreira de Barros, 844 - Santana, São Paulo - SP", 156 ,   R$ 825.000   ,  3     ,4,  3     
